status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
85014209445_10156041469589446,Nothing is better than treating yourself with #Amul Rasmalai after a sumptuous meal!!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156041469509446/?type=3,2017-11-29 04:18:17,685,13,44,645,30,9,1,0,0,0
85014209445_10156041003284446,Prepare a chocolate sandwich for yourself with #Amul Choco Buttery Spread.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156041003234446/?type=3,2017-11-28 23:43:47,591,19,57,559,23,7,2,0,0,0
85014209445_10156040714904446,Take the path to fitness with #Amul Lite Bread Spread.,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156040714844446/?type=3,2017-11-28 20:48:55,356,5,29,347,8,1,0,0,0,0
85014209445_10156038241189446,#Amul Topical: Kohli scores century after century as captain!,,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156038241144446/?type=3,2017-11-28 00:40:46,7864,27,158,7521,230,14,96,1,1,1
85014209445_10156036394404446,"Coming Soon, to a store near you!",,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156036386359446/?type=3,2017-11-27 09:25:38,665,24,84,591,41,33,0,0,0,0
85014209445_10156035439454446,"#IntroducingDrKurien: Episode 5

Know more: http://www.drkurien.com/nationalmilkday/",Introducing Dr. Kurien: Episode 5,video,https://www.facebook.com/amul.coop/videos/10156035439454446/,2017-11-26 22:55:16,6495,68,239,6358,93,18,11,4,2,9
85014209445_10156034176204446,"Having learned a lot about Dr. Kurien on the journey, and deeply humbled by his contributions, our riders triumphantly weaved through the streets.

The people they have met, the stories they have told, all come together to create a deep bond between the youngsters and the legend that is the Milkman of India. Here's to an 'Anand' ending to a wonderful journey.

#IntroducingDrKurien #NationalMilkDay

Know more: http://www.drkurien.com/nationalmilkday/",,photo,https://www.facebook.com/amul.coop/photos/a.10152605095804446.1073741836.85014209445/10156034176154446/?type=3,2017-11-26 12:01:45,244,3,9,231,11,2,0,0,0,0
85014209445_10156033527629446,Felicitation Ceremony of Dr. Kurien rally. #IntroducingDrKurien #NationalMilkDay,Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156033524334446/?type=3,2017-11-26 06:45:11,459,3,15,447,9,2,1,0,0,0
85014209445_10156033493149446,High voltage celebrations ensued at the marketing house of Amul before Dr. Kurien rally proceeded to Amul Dairy for the closing ceremony of #IntroducingDrKurien. #NationalMilkDay,Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156033488584446/?type=3,2017-11-26 06:30:46,305,3,4,297,5,3,0,0,0,0
85014209445_10156033405919446,"The eventful day began today at Amul Food Complex, Mogar as the bikers arrived in style #IntroducingDrKurien #NationalMilkDay",Photos from Amul's post,photo,https://www.facebook.com/amul.coop/photos/a.10150249944859446.342652.85014209445/10156033404469446/?type=3,2017-11-26 05:30:44,504,3,16,488,14,2,0,0,0,0
